time	V(vout)
5.669469927028650e-04	1.992416e+00
5.695170472094591e-04	2.119540e+00
5.713974986094618e-04	2.187719e+00
5.729865539348129e-04	2.228112e+00
5.745138661795355e-04	2.251674e+00
5.763192655736859e-04	2.260142e+00
5.786472356469391e-04	2.238956e+00
5.824188563511080e-04	2.132439e+00
5.884132754123458e-04	1.818980e+00
5.973782396009022e-04	1.165669e+00
6.074069823920635e-04	3.700406e-01
6.132535817262293e-04	-3.417392e-02
6.169460242453986e-04	-2.217369e-01
6.195163512588489e-04	-3.098495e-01
6.213969812033282e-04	-3.497854e-01
6.229859104903788e-04	-3.665103e-01
6.245137226066199e-04	-3.675048e-01
6.263192121682027e-04	-3.495254e-01
6.286471488010121e-04	-2.946403e-01
6.324187163647861e-04	-1.345173e-01
6.384130568539139e-04	2.616722e-01
6.473779296676198e-04	1.034077e+00
6.566849983132284e-04	1.891695e+00
6.629965391408350e-04	2.409838e+00
6.667737700047055e-04	2.649897e+00
6.693927327503491e-04	2.771016e+00
6.713051395330464e-04	2.833852e+00
6.728716725006001e-04	2.867989e+00
6.744882444114488e-04	2.886750e+00
6.763097345253309e-04	2.888057e+00
6.786317364782096e-04	2.857229e+00
6.823938722834836e-04	2.734902e+00
6.883742626815682e-04	2.395872e+00
6.973228941531745e-04	1.702601e+00
7.075121173434622e-04	8.459439e-01
7.133890948516426e-04	4.119400e-01
7.170372044385739e-04	2.096830e-01
7.195819204640326e-04	1.104575e-01
7.214457459978662e-04	6.189330e-02
7.230465476311706e-04	3.720607e-02
7.245658388707987e-04	2.864237e-02
7.263385965218007e-04	3.736471e-02
7.286786702701835e-04	8.061631e-02
7.324695211374534e-04	2.221059e-01
7.384923546587233e-04	5.890071e-01
7.474902877395314e-04	1.316314e+00
7.561940606445041e-04	2.070194e+00
7.629468665754425e-04	2.589411e+00
7.667405881623460e-04	2.810929e+00
7.693689580100464e-04	2.917826e+00
7.712874906550193e-04	2.970117e+00
7.728497142843161e-04	2.995360e+00
7.744833495888605e-04	3.005070e+00
7.763079136054566e-04	2.995986e+00
7.786287753071381e-04	2.951818e+00
7.823890987445233e-04	2.807799e+00
7.883668075222871e-04	2.434272e+00
7.973123127878385e-04	1.689346e+00
8.075482296292925e-04	7.689524e-01
8.133375514466556e-04	3.076102e-01
8.170024935756860e-04	8.287825e-02
8.195569484743448e-04	-3.187078e-02
8.214271698632884e-04	-9.161549e-02
8.230234504901358e-04	-1.256388e-01
8.245248006133669e-04	-1.429133e-01
8.263233328332563e-04	-1.446140e-01
8.286538496394039e-04	-1.152180e-01
8.324295171988892e-04	3.615147e-03
8.384299190034919e-04	3.342096e-01
8.474018374034901e-04	1.008206e+00
8.567679619819687e-04	1.767578e+00
8.630155373540059e-04	2.210951e+00
8.667864700954277e-04	2.408737e+00
8.694018356321695e-04	2.500881e+00
8.713118981820084e-04	2.542651e+00
8.728800809389712e-04	2.559630e+00
8.744901189739942e-04	2.560697e+00
8.763104318720968e-04	2.542126e+00
8.786328704972911e-04	2.486042e+00
8.823957003517514e-04	2.323041e+00
8.883771175929470e-04	1.919965e+00
8.973269457948690e-04	1.132098e+00
9.073742123690096e-04	1.820071e-01
9.132341322056370e-04	-3.124693e-01
9.169329583892936e-04	-5.566029e-01
9.195069629221186e-04	-6.838315e-01
9.213900018067171e-04	-7.522573e-01
9.229772307903779e-04	-7.928666e-01
9.245117859685134e-04	-8.169126e-01
9.263184917855144e-04	-8.259808e-01
9.286459773416925e-04	-8.058376e-01
9.324168280913714e-04	-7.017375e-01
9.384101086885048e-04	-3.938657e-01
9.473737487964496e-04	2.472563e-01
