time	V(transmit_electrode)
5.263199211731093e-04	4.159714e-01
5.286483017565534e-04	3.974048e-01
5.324205747999737e-04	3.454812e-01
5.384159583710620e-04	2.131130e-01
5.473820441355625e-04	-6.479082e-02
5.574094100263742e-04	-4.009270e-01
5.632550230394010e-04	-5.634527e-01
5.669469927028650e-04	-6.415212e-01
5.695170472094591e-04	-6.821374e-01
5.713974986094618e-04	-7.040997e-01
5.729865539348129e-04	-7.173455e-01
5.745138661795355e-04	-7.254002e-01
5.763192655736859e-04	-7.289635e-01
5.786472356469391e-04	-7.240725e-01
5.824188563511080e-04	-6.941627e-01
5.884132754123458e-04	-5.963860e-01
5.973782396009022e-04	-3.691826e-01
6.074069823920635e-04	-8.800556e-02
6.132535817262293e-04	4.337067e-02
6.169460242453986e-04	1.021169e-01
6.195163512588489e-04	1.294498e-01
6.213969812033282e-04	1.417826e-01
6.229859104903788e-04	1.469507e-01
6.245137226066199e-04	1.472951e-01
6.263192121682027e-04	1.418116e-01
6.286471488010121e-04	1.253673e-01
6.324187163647861e-04	7.701312e-02
6.384130568539139e-04	-4.935978e-02
6.473779296676198e-04	-3.176093e-01
6.566849983132284e-04	-6.203868e-01
6.629965391408350e-04	-7.915429e-01
6.667737700047055e-04	-8.678661e-01
6.693927327503491e-04	-9.065193e-01
6.713051395330464e-04	-9.267003e-01
6.728716725006001e-04	-9.379639e-01
6.744882444114488e-04	-9.445126e-01
6.763097345253309e-04	-9.456641e-01
6.786317364782096e-04	-9.376054e-01
6.823938722834836e-04	-9.025713e-01
6.883742626815682e-04	-7.965925e-01
6.973228941531745e-04	-5.565699e-01
7.075121173434622e-04	-2.549544e-01
7.133890948516426e-04	-1.140871e-01
7.170372044385739e-04	-5.059928e-02
7.195819204640326e-04	-1.958989e-02
7.214457459978662e-04	-4.390691e-03
7.230465476311706e-04	3.391543e-03
7.245658388707987e-04	6.185011e-03
7.263385965218007e-04	3.748013e-03
7.286786702701835e-04	-8.816792e-03
7.324695211374534e-04	-5.103281e-02
7.384923546587233e-04	-1.678575e-01
7.474902877395314e-04	-4.214193e-01
7.561940606445041e-04	-6.893383e-01
7.629468665754425e-04	-8.616862e-01
7.667405881623460e-04	-9.314058e-01
7.693689580100464e-04	-9.653319e-01
7.712874906550193e-04	-9.819927e-01
7.728497142843161e-04	-9.902993e-01
7.744833495888605e-04	-9.938321e-01
7.763079136054566e-04	-9.914973e-01
7.786287753071381e-04	-9.789925e-01
